ITEM#,friction,bendingWeft,bucklingStiffnessWeft,thickness,bucklingStiffnessBias_x,bucklingRatioWarp,bendingBias_x,internalDamping,stretchWarp,stretchWeft,bucklingRatioWias_x,bucklingRatioWeft,density,shear_x,bendingWarp,bucklingStiffnessWarp,bucklingStiffnessBias_y,bendingWeft_x,stretchWeft_x,thickness_x,bucklingRatioWarp_x,bucklingRatioWeft_x,bucklingStiffnessWeft_x,density_x,friction_x,shear_y,bucklingStiffnessWarp_x,internalDamping_x,bucklingRatioWias_y,bendingBias_y,bendingWarp_x,stretchWarp_x,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp_y,bendingWeft_y,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp_y,bucklingRatioWeft_y,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp_y,bucklingStiffnessWeft_y,density_y,friction_y,internalDamping_y,leftShear,rightShear,stretchWarp_y,stretchWeft_y,thickness_y
#4509 PU2_FRONT_1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99996.95,37503.05,,,,0.0,,,0.0,0.0,333.8384,0.03,0.0001,,,1000000.0,1000000.0,0.536
#4707 W3L,0.0299999993294477,18753.05078125,0.0,0.6600000262260437,0.0,0.0,21875.0,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,388.38385009765625,1000000.0,24996.94921875,0.0,0.0,18753.05078125,1000000.0,0.6600000262260437,0.0,0.0,0.0,388.38385009765625,0.0299999993294477,1000000.0,0.0,9.999999747378752e-05,0.0,21875.0,24996.94921875,1000000.0,KTTA & KOTITI,293,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
#4707 W3L_FRONT_1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24996.95,18753.05,,,,0.0,,,0.0,0.0,388.3839,0.03,0.0001,,,1000000.0,1000000.0,0.66
#4820 PU2,0.0299999993294477,3121.9482421875,0.0,0.6299999952316284,0.0,0.0,14840.69921875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,347.4747619628906,889907.75,26559.44921875,0.0,0.0,3121.9482421875,1000000.0,0.6299999952316284,0.0,0.0,0.0,347.4747619628906,0.0299999993294477,889907.75,0.0,9.999999747378752e-05,0.0,14840.69921875,26559.44921875,1000000.0,KTTA & KOTITI,195,,knit,,"polyamide 85%, ",EL 15%,,,,,,,,,,,,,,,,,,,,,,,
#4820 PU2_FRONT_2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26559.45,3121.948,,,,0.0,,,0.0,0.0,347.4748,0.03,0.0001,,,1000000.0,1000000.0,0.63
#7123 PU2,0.0299999993294477,4690.5517578125,0.0,0.3400000035762787,0.0,0.0,7034.3017578125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,161.6161651611328,112481.734375,9378.0517578125,0.0,0.0,4690.5517578125,1000000.0,0.3400000035762787,0.0,0.0,0.0,161.6161651611328,0.0299999993294477,112481.734375,0.0,9.999999747378752e-05,0.0,7034.3017578125,9378.0517578125,1000000.0,KTTA & KOTITI,300,,knit,,"polyester 95%, ",EL 5%,,,,,,,,,,,,,,,,,,,,,,,
#7123 PU2_FRONT_2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378.052,4690.552,,,,0.0,,,0.0,0.0,161.6162,0.03,0.0001,,,1000000.0,1000000.0,0.34
#7172 TEF,0.0299999993294477,31246.94921875,0.0,0.9860000014305116,0.0,0.0,41403.19921875,9.999999747378752e-05,735024.8125,662685.125,0.0,0.0,420.7070617675781,135310.796875,51559.44921875,0.0,0.0,31246.94921875,662685.125,0.9860000014305116,0.0,0.0,0.0,420.7070617675781,0.0299999993294477,135310.796875,0.0,9.999999747378752e-05,0.0,41403.19921875,51559.44921875,735024.8125,KTTA & KOTITI,189,,woven,twill,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
#7172 TEF_FRONT_2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51559.45,31246.95,,,,0.0,,,0.0,0.0,420.7071,0.03,0.0001,,,735024.8,662685.1,0.986
#8102P,0.0299999993294477,588.9892578125,0.0,0.2240000069141388,0.0,0.0,637.8173828125,9.999999747378752e-05,1000000.0,539616.4375,0.0,0.0,94.94949340820312,80999.9375,686.6455078125,0.0,0.0,588.9892578125,539616.4375,0.2240000069141388,0.0,0.0,0.0,94.94949340820312,0.0299999993294477,80999.9375,0.0,9.999999747378752e-05,0.0,637.8173828125,686.6455078125,1000000.0,KTTA & KOTITI,272,,woven,,"lyocell 70%, ",polyester 30%,,,,,,,,,,,,,,,,,,,,,,,
#8102P_FRONT_2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.6455,588.9893,,,,0.0,,,0.0,0.0,94.94949,0.03,0.0001,,,1000000.0,539616.4,0.224
(G)H170470,0.0299999993294477,1174.9267578125,0.0,0.5600000023841858,0.0,0.0,735.4736328125,9.999999747378752e-05,264812.0,53102.390625,0.0,0.0,253.03030395507807,14316.1220703125,296.0205078125,0.0,0.0,1174.9267578125,53102.390625,0.5600000023841858,0.0,0.0,0.0,253.03030395507807,0.0299999993294477,14316.1220703125,0.0,9.999999747378752e-05,0.0,735.4736328125,296.0205078125,264812.0,KTTA & KOTITI,138,,woven,,"polyester 59%,","cotton 37%,",lyocell 4%,,,,,,,,,,,,,,,,,,,,,,
(G)H170470_FRONT_1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0205,1174.927,,,,0.0,,,0.0,0.0,253.0303,0.03,0.0001,,,264812.0,53102.39,0.56
1050724A_single jersey_100%Polyester_145GSM_FRONT_1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABRICAST™,8.0 oz/yd² - 271 g/m²,,Knits,Jacquard Terry Single Knit,68% Cotton,32% Polyester,,,,21.93451,21.93451,18.11981,23.84186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.8788,0.03,0.0001,5165.15,5165.15,16909.52,13991.05,0.48
1050724A_single jersey_100%Polyester_145GSM_FRONT_1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.93451,21.93451,18.11981,23.84186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.8788,0.03,0.0001,5165.15,5165.15,16909.52,13991.05,0.48
"1060121_Houndstooth,jacquard, interlock_ 60% Cotton 40% Polyester_210GSM_FRONT_1364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABRICAST™,7.8 oz/yd² - 264 g/m²,,Knits,Jacquard Terry Single Knit,65% Cotton,35% Polyester,,,,594.1391,594.1391,1830.101,266.0751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.101,0.03,0.0001,48538.9,48538.9,28609.6,30754.23,0.75
"1060121_Houndstooth,jacquard, interlock_ 60% Cotton 40% Polyester_210GSM_FRONT_1658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.1391,594.1391,1830.101,266.0751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.101,0.03,0.0001,48538.9,48538.9,28609.6,30754.23,0.75
1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,269,,knit,,PC 43%,wool 37%,polyamide 20%,,,,,,,,,,,,,,,,,,,,,,
12014MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,136,,woven,twill,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
12045-2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,74,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
121917MS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,298,,knit,,"polyester 80%, ",EL 20%,,,,,,,,,,,,,,,,,,,,,,,
14028A,0.0299999993294477,1467.8955078125,0.0,0.8579999804496765,0.0,0.0,1342.7734375,9.999999747378752e-05,157423.1875,176009.0625,0.0,0.0,384.8484802246094,8760.1357421875,1217.6513671875,0.0,0.0,1467.8955078125,176009.0625,0.8579999804496765,0.0,0.0,0.0,384.8484802246094,0.0299999993294477,8760.1357421875,0.0,9.999999747378752e-05,0.0,1342.7734375,1217.6513671875,157423.1875,KTTA & KOTITI,316,,knit,,"polyester 65%, ",cotton 35%,,,,,,,,,,,,,,,,,,,,,,,
14028A_FRONT_2676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217.651,1467.896,,,,0.0,,,0.0,0.0,384.8485,0.03,0.0001,,,157423.2,176009.1,0.858
160076-1,0.0299999993294477,485.2294921875,0.0,0.4900000095367431,0.0,0.0,460.8154296875,9.999999747378752e-05,254794.03125,134200.4375,0.0,0.0,171.71717834472656,57433.06640625,436.4013671875,0.0,0.0,485.2294921875,134200.4375,0.4900000095367431,0.0,0.0,0.0,171.71717834472656,0.0299999993294477,57433.06640625,0.0,9.999999747378752e-05,0.0,460.8154296875,436.4013671875,254794.03125,KTTA & KOTITI,57,,woven,,"viscose 52%, ",polyester 48%,,,,,,,,,,,,,,,,,,,,,,,
160076-1_FRONT_2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.4014,485.2295,,,,0.0,,,0.0,0.0,171.7172,0.03,0.0001,,,254794.0,134200.4,0.49
160135,0.0299999993294477,4879.7607421875,0.0,0.7739999890327454,0.0,0.0,5953.9794921875,9.999999747378752e-05,624265.125,624018.5,0.0,0.0,333.3333435058594,280236.5625,7028.1982421875,0.0,0.0,4879.7607421875,624018.5,0.7739999890327454,0.0,0.0,0.0,333.3333435058594,0.0299999993294477,280236.5625,0.0,9.999999747378752e-05,0.0,5953.9794921875,7028.1982421875,624265.125,KTTA & KOTITI,121,,woven,,"polyester 82%,",polyamide 18%,,,,,,,,,,,,,,,,,,,,,,,
160135_FRONT_2842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7028.198,4879.761,,,,0.0,,,0.0,0.0,333.3333,0.03,0.0001,,,624265.1,624018.5,0.774
17CJS1287,0.0299999993294477,973.5107421875,0.0,0.3310000002384186,0.0,0.0,985.7177734375,9.999999747378752e-05,1000000.0,269742.875,0.0,0.0,192.9292907714844,69701.84375,997.9248046875,0.0,0.0,973.5107421875,269742.875,0.3310000002384186,0.0,0.0,0.0,192.9292907714844,0.0299999993294477,69701.84375,0.0,9.999999747378752e-05,0.0,985.7177734375,997.9248046875,1000000.0,KTTA & KOTITI,197,,woven,,"cotton 60%, ",Modal40%,,,,,,,,,,,,,,,,,,,,,,,
17CJS1287_FRONT_2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.9248,973.5107,,,,0.0,,,0.0,0.0,192.9293,0.03,0.0001,,,1000000.0,269742.9,0.331
180885-1_Woven plain_100% Cotton_FRONT_1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABRICAST™,5.8 oz/yd² - 197 g/m²,,Knits,Jacquard Single Knit,100% Cotton,,,,,3935.814,3935.814,4273.415,1467.705,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.25,151.5152,0.03,0.0001,214090.3,214090.3,1000000.0,1000000.0,0.33
180885-1_Woven plain_100% Cotton_FRONT_1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935.814,3935.814,4273.415,1467.705,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.25,151.5152,0.03,0.0001,214090.3,214090.3,1000000.0,1000000.0,0.33
18399 DTP(PP),0.0299999993294477,3317.2607421875,0.0,1.3700000047683716,0.0,0.0,4003.90625,9.999999747378752e-05,330982.28125,227408.734375,0.0,0.0,387.8787536621094,8825.1875,4690.5517578125,0.0,0.0,3317.2607421875,227408.734375,1.3700000047683716,0.0,0.0,0.0,387.8787536621094,0.0299999993294477,8825.1875,0.0,9.999999747378752e-05,0.0,4003.90625,4690.5517578125,330982.28125,KTTA & KOTITI,131,,woven,,"Silk 20%, ","wool 46%, ",polyester 34%,,,,,,,,,,,,,,,,,,,,,,
18399 DTP(PP)_FRONT_8911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690.552,3317.261,,,,0.0,,,0.0,0.0,387.8788,0.03,0.0001,,,330982.3,227408.7,1.37
34200-1S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,129,,knit,,"R 50%, ","polyester 45%, ",Polyurethane 5%,,,,,,,,,,,,,,,,,,,,,,
34238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,215,,woven,,"viscose 53%,",cotton 47%,,,,,,,,,,,,,,,,,,,,,,,
518221,0.0299999993294477,411.9873046875,0.0,0.6499999761581421,0.0,0.0,964.35546875,9.999999747378752e-05,262675.3125,157500.15625,0.0,0.0,241.4141540527344,25008.09375,1516.7236328125,0.0,0.0,411.9873046875,157500.15625,0.6499999761581421,0.0,0.0,0.0,241.4141540527344,0.0299999993294477,25008.09375,0.0,9.999999747378752e-05,0.0,964.35546875,1516.7236328125,262675.3125,KTTA & KOTITI,162,,woven,,"cotton 60%,",polyamide 40%,,,,,,,,,,,,,,,,,,,,,,,
518221_FRONT_2925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.724,411.9873,,,,0.0,,,0.0,0.0,241.4142,0.03,0.0001,,,262675.3,157500.2,0.65
578244,0.0299999993294477,387.5732421875,0.0,0.6100000143051147,0.0,0.0,537.109375,9.999999747378752e-05,148809.375,83396.734375,0.0,0.0,238.88890075683597,7162.005859375,686.6455078125,0.0,0.0,387.5732421875,83396.734375,0.6100000143051147,0.0,0.0,0.0,238.888900756836,0.0299999993294477,7162.005859375,0.0,9.999999747378752e-05,0.0,537.109375,686.6455078125,148809.375,KTTA & KOTITI,326,,knit,,"PC 68%, ",polyester 32%,,,,,,,,,,,,,,,,,,,,,,,
578244_FRONT_3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.6455,387.5732,,,,0.0,,,0.0,0.0,238.8889,0.03,0.0001,,,148809.4,83396.73,0.61
618260,0.0299999993294477,88.5009765625,0.0,0.0700000002980232,0.0,0.0,433.349609375,9.999999747378752e-05,1000000.0,196728.984375,0.0,0.0,60.60606384277344,7916.9150390625,778.1982421875,0.0,0.0,88.5009765625,196728.984375,0.0700000002980232,0.0,0.0,0.0,60.60606384277344,0.0299999993294477,7916.9150390625,0.0,9.999999747378752e-05,0.0,433.349609375,778.1982421875,1000000.0,KTTA & KOTITI,388,,woven,,"polyester 69%,"," ME 25%,",PC 6%,,,,,,,,,,,,,,,,,,,,,,
618260_FRONT_3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.1982,88.50098,,,,0.0,,,0.0,0.0,60.60606,0.03,0.0001,,,1000000.0,196729.0,0.07
627708,0.0299999993294477,3512.5732421875,0.0,0.25,0.0,0.0,6445.3125,9.999999747378752e-05,115365.3125,65963.2265625,0.0,0.0,164.14141845703125,66173.453125,9378.0517578125,0.0,0.0,3512.5732421875,65963.2265625,0.25,0.0,0.0,0.0,164.14141845703125,0.0299999993294477,66173.453125,0.0,9.999999747378752e-05,0.0,6445.3125,9378.0517578125,115365.3125,KTTA & KOTITI,206,,woven,,"cotton 62%, ",polyester 38%,,,,,,,,,,,,,,,,,,,,,,,
627708_FRONT_10666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378.052,3512.573,,,,0.0,,,0.0,0.0,164.1414,0.03,0.0001,,,115365.3,65963.23,0.25
678122,0.0299999993294477,1174.9267578125,0.0,0.1599999964237213,0.0,0.0,881.9580078125,9.999999747378752e-05,803517.5625,162517.0625,0.0,0.0,109.5959701538086,41300.6015625,588.9892578125,0.0,0.0,1174.9267578125,162517.0625,0.1599999964237213,0.0,0.0,0.0,109.5959701538086,0.0299999993294477,41300.6015625,0.0,9.999999747378752e-05,0.0,881.9580078125,588.9892578125,803517.5625,KTTA & KOTITI,278,,knit,,"Modal97%,",EL 3%,,,,,,,,,,,,,,,,,,,,,,,
678122_FRONT_9077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.9893,1174.927,,,,0.0,,,0.0,0.0,109.596,0.03,0.0001,,,803517.6,162517.1,0.16
6849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,269,,woven,,linen 71%, Silk 29%,,,,,,,,,,,,,,,,,,,,,,,
6877-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,280,,Woven,,"polyester 94%,",EL 6%,,,,,,,,,,,,,,,,,,,,,,,
6935P,0.0299999993294477,2737.4267578125,0.0,0.6100000143051147,0.0,0.0,2246.09375,9.999999747378752e-05,338444.8125,179429.40625,0.0,0.0,202.5252685546875,183567.046875,1754.7607421875,0.0,0.0,2737.4267578125,179429.40625,0.6100000143051147,0.0,0.0,0.0,202.5252685546875,0.0299999993294477,183567.046875,0.0,9.999999747378752e-05,0.0,2246.09375,1754.7607421875,338444.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,232,,woven,,cotton 34%,"viscose 35%, ",polyester 31%,,,,,,,,,,,,,,,,,,,,,,
6982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,86,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
6983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,361,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
6984-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,54,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
6985-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,292,,woven,,"CTA 56%, ",polyester 44%,,,,,,,,,,,,,,,,,,,,,,,
6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,167,,Woven,,"wool 60%, ","Silk 25%, ",ME 15%,,,,,,,,,,,,,,,,,,,,,,
6994-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,195,,knit,,"polyester 48%,"," polyamide 45%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,
7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,134,,Woven,,"cotton 80%, ",PC 20%,,,,,,,,,,,,,,,,,,,,,,,
7030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,260,,Woven,,"linen 56%,",cotton 44%,,,,,,,,,,,,,,,,,,,,,,,
7047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,184,,Woven,,"Silk 70%, ",wool 30%,,,,,,,,,,,,,,,,,,,,,,,
7048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,126,,Woven,,"cotton 75%, ",Silk 25%,,,,,,,,,,,,,,,,,,,,,,,
7073-2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,245,,knit,,"polyester 94%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,,
7082-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,98,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7082-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,123,,woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7082-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,193,,woven,,"polyester 69%, ","viscose 29%, ",Polyurethane 2%,,,,,,,,,,,,,,,,,,,,,,
7082-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,253,,Woven,,"(F) Polyurethane 100%, (B) polyester 100%",,,,,,,,,,,,,,,,,,,,,,,,
7082-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,38,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7082-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,326,,woven,,"polyester 41%, ","polyamide 29%, ","viscose 22%, ",PU 8%,,,,,,,,,,,,,,,,,,,,,
7089-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,347,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7089-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,183,,woven,,"polyamide 86%,",EL 14%,,,,,,,,,,,,,,,,,,,,,,,
7092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,152,,Woven,,Cupro 66%,polyester 34%,,,,,,,,,,,,,,,,,,,,,,,
7093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,249,,woven,,"acylic 66%,"," polyamide 31%, ",EL 3%,,,,,,,,,,,,,,,,,,,,,,
7096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,46,,woven,,polyamide 70%,lyocell 30%,,,,,,,,,,,,,,,,,,,,,,,
7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTTA & KOTITI,333,,knit,,Ramie 79%,polyamide 15%,EL 6%,,,,,,,,,,,,,,,,,,,,,,
